/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1521 Annual data/15212 Expenditure of GDP (by main consumption elements)/EF-NA-93AE02.px	2022-07-26	Structure of Expenditure of the GDP by main consumption elements by SNA 1993 and years
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1521 Annual data/15212 Expenditure of GDP (by main consumption elements)/EF-NA-93AE03.px	2022-07-26	Changes in Expenditure of the GDP by main consumption elements by SNA 1993 and years
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1521 Annual data/15213 GDP by Income generation/EF-NA-93AG01.px	2022-04-04	GDP by income generation by NACE 2 classification by types of economic activity by SNA 1993, years and income catigories
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1521 Annual data/15213 GDP by Income generation/EF-NA-93AG02.px	2022-04-04	GDP by income generation by NACE 1.1. classification by types of economic activity by SNA 1993, years and income catigories
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1521 Annual data/EF-NA-93A.px	2022-07-26	GDP by years and GDP per capita by SNA 1993
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15221 Production of GDP/EF-NA-93QP01.px	2022-04-05	GDP production by NACE 1.1. classification by types of economic activity by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15221 Production of GDP/EF-NA-93QP02.px	2022-04-05	GDP production structure by NACE 1.1. classification by types of economic activity by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15221 Production of GDP/EF-NA-93QP03.px	2022-04-05	GDP production at prices of the same period of the previous year by NACE 1.1. classification by types of economic activity by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15221 Production of GDP/EF-NA-93QP04.px	2022-04-05	Changes in GDP productionreal to corresponding quarter of the previous year by NACE 1.1. classification by types of economic activity by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15221 Production of GDP/EF-NA-93QP05.px	2022-04-05	Changes in GDP production real volume chain-link indices, 2009=100 by NACE 1.1. classification by types of economic activity by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15221 Production of GDP/EF-NA-93QP06.px	2022-07-26	GDP production by NACE 2 classification by types of economic activity by SNA 1993 and quarterly
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1522 Quarterly data/15221 Production of GDP/EF-NA-93QP07.px	2022-07-26	GDP production structure by NACE 2 classification by types of economic activity by SNA 1993 and quarterly
